,X1,X2,y
0,7.09,8.15,1
1,-4.63,1.72,0
2,-3.2,2.37,0
3,-3.16,2.1,0
4,-0.3,2.86,1
5,-0.68,-13.48,0
6,0.67,4.08,1
7,-3.52,2.52,0
8,-3.38,2.52,0
9,-3.03,2.17,0
10,2.44,-13.97,0
11,-3.32,2.27,0
12,1.16,8.67,0
13,-10.7,2.32,0
14,-4.51,-7.03,0
15,-3.08,2.39,0
16,-6.75,10.31,0
17,-1.01,3.44,1
18,3.13,-2.92,0
19,-3.62,2.99,0
20,1.25,0.13,1
21,10.65,-4.85,0
22,-0.57,4.79,1
23,1.59,-6.19,0
24,9.45,7.42,1
25,0.34,2.43,1
26,-14.51,3.26,1
27,-4.65,2.01,0
28,-4.0,1.83,0
29,-10.86,19.9,1
30,-0.51,-4.33,0
31,-4.2,6.9,1
32,-2.86,2.51,0
33,-2.63,2.59,0
34,-3.4,2.23,0
35,0.19,-8.68,1
36,-7.94,-15.56,0
37,-1.66,-1.88,1
38,-10.08,11.88,1
39,-7.47,22.09,1
40,-6.43,2.82,1
41,-3.54,2.02,0
42,5.56,-7.29,1
43,12.56,6.51,0
44,-9.29,5.23,0
45,0.77,-5.99,0
46,-9.47,6.68,0
47,8.05,10.17,1
48,6.86,4.96,0
49,-11.82,1.98,0
50,6.68,-9.93,0
51,-2.51,6.4,1
52,-3.94,3.19,0
53,-3.13,2.34,0
54,-1.93,2.13,0
55,-3.29,1.3,0
56,0.95,-0.08,1
57,-13.72,5.07,1
58,-9.17,-1.52,0
59,2.84,16.59,0
60,-1.86,-14.31,0
61,-3.21,2.22,0
62,4.07,-2.86,0
63,-9.08,8.26,0
64,-2.59,-6.94,0
65,-3.51,-1.19,1
66,-11.57,2.53,0
67,-10.61,-13.92,1
68,1.56,-3.8,0
69,-2.85,2.13,0
70,4.57,1.9,0
71,8.97,5.85,1
72,-2.73,2.69,0
73,-9.38,-3.07,0
74,-2.89,2.42,0
75,-13.15,-9.69,0
76,10.61,1.98,1
77,-7.69,16.56,0
78,-3.64,2.02,0
79,-3.79,1.21,0
80,-5.05,-5.72,0
81,-0.85,-2.01,1
82,5.93,0.77,0
83,-2.41,-2.15,1
84,-3.04,1.2,0
85,-13.04,-1.31,0
86,-3.11,1.43,0
87,-23.03,4.46,1
88,4.61,1.88,0
89,4.57,13.75,0
90,12.84,-1.36,0
91,-3.15,3.67,0
92,-13.49,-8.31,0
93,8.8,1.56,1
94,-4.52,-1.1,1
95,-5.82,-8.58,1
96,-15.92,3.01,1
97,-3.52,2.76,0
98,4.45,21.84,1
99,-0.04,-0.74,1
100,3.17,-1.91,0
101,0.48,-8.66,1
102,2.68,8.49,0
103,-20.68,-11.4,1
104,-9.21,1.51,1
105,-4.39,1.91,0
106,-1.42,10.09,0
107,-6.24,-9.37,1
108,-8.86,-3.89,0
109,-7.96,-7.78,1
110,-10.65,4.5,0
111,-2.98,2.73,0
112,5.65,-7.25,1
113,-3.67,2.37,0
114,5.73,8.76,1
115,-4.53,1.55,0
116,-3.12,2.0,0
117,-3.22,2.62,0
118,-6.03,-1.63,1
119,2.32,-2.48,0
120,-9.28,9.95,0
121,-2.02,-0.76,1
122,-12.14,4.84,0
123,0.44,0.6,1
124,6.3,8.25,1
125,-3.15,2.18,0
126,-14.72,4.05,1
127,-5.19,0.27,1
128,1.78,3.08,1
129,-13.73,-4.51,1
130,-0.2,2.51,1
131,-4.22,2.07,0
132,1.47,4.95,1
133,-10.44,-7.63,1
134,-5.61,0.55,1
135,-9.99,10.54,1
136,-3.25,2.04,0
137,-10.18,5.94,0
138,-2.61,13.88,1
139,-3.59,1.5,0
140,10.66,18.24,1
141,-10.06,-1.71,0
142,-4.54,2.44,0
143,-5.69,9.3,0
144,0.22,2.58,1
145,-15.98,2.54,1
146,-3.8,1.93,0
147,-1.37,11.19,0
148,1.97,-2.12,1
149,-1.16,13.58,1
150,-3.01,2.84,0
151,-7.21,8.93,0
152,-3.68,2.27,0
153,-0.86,-7.09,0
154,-20.11,-2.6,0
155,3.61,3.89,0
156,-3.78,1.84,0
157,0.36,5.56,1
158,-2.74,2.61,0
159,-3.47,2.42,0
160,-19.06,-11.48,1
161,-2.54,2.69,0
162,-2.85,2.07,0
163,0.85,9.62,0
164,-6.22,4.92,1
165,9.64,-12.55,1
166,-10.39,1.26,0
167,-3.5,1.0,0
168,-17.06,-6.97,0
169,-0.98,5.1,1
170,-6.84,18.7,0
171,-3.23,2.2,0
172,-11.42,6.6,0
173,-3.16,1.87,0
174,-2.28,9.18,0
175,-8.72,-9.34,1
176,-1.5,3.66,0
177,-17.09,-5.53,0
178,-3.52,2.06,0
179,11.14,7.4,0
180,-11.33,9.18,1
181,-16.07,-6.64,0
182,1.88,-4.24,0
183,-3.64,10.94,0
184,2.71,-13.5,0
185,-10.19,10.23,1
186,-3.19,1.77,0
187,3.29,-2.39,0
188,5.76,-17.0,1
189,-22.68,-1.4,1
190,-3.31,2.85,0
191,-3.56,2.71,0
192,1.42,-4.02,0
193,-7.03,0.87,1
194,-3.24,10.67,0
195,-0.41,14.09,1
196,0.42,5.71,1
197,-14.58,-1.12,1
198,-2.72,0.41,0
199,4.77,0.78,0
200,-0.16,4.33,1
201,0.59,-0.32,0
202,-1.87,-0.04,1
203,-6.15,-0.54,1
204,-13.1,5.65,0
205,-21.85,2.66,1
206,-4.83,-3.55,0
207,-5.25,-6.62,0
208,-3.45,2.16,0
209,-19.11,4.83,0
210,-16.11,8.98,0
211,-18.2,15.31,1
212,-23.54,9.17,1
213,-7.28,1.2,1
214,-7.25,2.74,1
215,0.14,13.17,1
216,4.21,2.33,0
217,0.99,1.97,1
218,-2.86,2.37,0
219,-1.91,11.4,0
220,2.13,-8.68,1
221,-0.67,-14.17,0
222,3.3,-6.57,1
223,1.12,1.55,1
224,-9.87,-14.91,1
225,-8.02,12.47,1
226,3.31,1.93,0
227,-0.55,3.3,1
228,7.34,-2.08,1
229,-3.1,3.33,0
230,-2.74,2.78,0
231,-3.51,2.3,0
232,-14.05,-14.18,1
233,0.33,-6.29,0
234,-18.28,4.65,0
235,-10.3,0.24,0
236,-0.06,-1.21,1
237,2.57,-7.22,1
238,-5.79,-6.12,0
239,0.3,4.22,1
240,-0.72,0.29,1
241,0.98,5.57,1
242,-5.16,9.95,0
243,-2.53,3.42,0
244,-3.17,2.24,0
245,9.48,13.35,0
246,-3.2,2.22,0
247,-2.51,3.52,0
248,-3.84,2.32,0
249,-3.31,2.12,0
250,-2.59,2.45,0
251,-2.5,-5.77,0
252,-3.1,2.0,0
253,-2.79,3.42,0
254,-16.91,-2.54,0
255,-9.48,-0.77,0
256,-5.38,-0.45,1
257,-3.08,2.18,0
258,2.43,11.79,1
259,-7.0,-0.09,1
260,-3.72,11.28,0
261,-5.42,8.8,0
262,-2.34,9.03,0
263,-3.21,2.53,0
264,-3.1,-1.71,1
265,-3.01,2.41,0
266,-2.56,2.25,0
267,-6.28,0.2,1
268,-5.81,9.83,0
269,-3.33,1.54,0
270,-2.78,4.8,1
271,3.19,-15.31,0
272,-5.04,3.37,1
273,-1.63,2.08,1
274,-2.76,3.3,0
275,-5.27,1.8,0
276,13.78,10.87,1
277,-12.51,-8.27,1
278,-3.33,2.81,0
279,-0.17,5.2,1
280,2.41,-3.52,0
281,-3.33,2.59,0
282,-7.19,16.95,0
283,-5.7,-1.3,1
284,2.69,3.3,0
285,16.96,5.22,1
286,0.63,-7.36,1
287,-3.15,3.22,0
288,-0.63,4.33,1
289,-3.8,-9.47,1
290,-0.31,5.74,1
291,-3.59,14.45,1
292,3.24,-6.09,1
293,-6.91,-13.56,0
294,-9.5,-9.16,1
295,-2.96,2.68,0
296,-4.83,-2.29,1
297,-11.8,-15.53,1
298,0.64,2.04,1
299,13.51,10.0,1
300,-3.01,1.93,0
301,-1.86,9.79,0
302,0.43,2.04,1
303,-3.43,2.0,0
304,-0.13,-12.54,0
305,-6.27,-18.61,1
306,-3.3,2.3,0
