country;code;checkdig;length;sample;bank
Albanien;AL;0011;28;AL06202111090000000005012075;ALBANK11XXX
Andorra;AD;0012;24;AD1000060004451247870930;ADBANK12XXX
Aserbaidschan;AZ;0013;28;AZ04UBAZ04003214540060AZN001;AZBANK13XXX
Bahrain;BH;0014;22;BH02CITI00001077181611;BHBANK14XXX
Belgien;BE;0015;16;BE45096920886089;BEBANK15XXX
Bosnien und Herzegowina;BA;0016;20;BA391011606058553319;BABANK16XXX
Brasilien;BR;0017;29;BR0200000000010670000117668C1;BRBANK17XXX
Britische Jungferninseln;VG;0018;24;VG48NOSC0000000005002993;VGBANK18XXX
Bulgarien;BG;0019;22;BG02RZBB91551002755190;BGBANK19XXX
Costa Rica;CR;0020;22;CR79015202220005614288;CRBANK20XXX
Dänemark;DK;0021;18;DK0220005036459478;DKBANK21XXX
Deutschland;DE;0022;22;DE02100500000024290661;DEBANK22XXX
Dominikanische Republik;DO;0023;28;DO22BCBH00000000011003290022;DOBANK23XXX
El Salvador;SV;0024;28;SV43ACAT00000000000000123123;SVBANK24XXX
Estland;EE;0025;20;EE021700017000459042;EEBANK25XXX
Färöer Inseln;FO;0026;18;FO1291810001441878;FOBANK26XXX
Finnland;FI;0027;18;FI0210403500314392;FIBANK27XXX
Frankreich *1;FR;0028;27;FR7630006000011234567890189;FRBANK28XXX
Georgia;GE;0029;22;GE02TB7523045063700002;GEBANK29XXX
Gibraltar;GI;0030;23;GI04BARC020452163087000;GIBANK30XXX
Griechenland;GR;0031;27;GR0201102160000021661309175;GRBANK31XXX
Grönland;GL;0032;18;GL2664710001504964;GLBANK32XXX
Grossbritannien *2;GB;0033;22;GB11CITI18500811417983;GBBANK33XXX
Guatemala;GT;0034;28;GT24CITI01010000000004146026;GTBANK34XXX
Irak;IQ;0035;23;IQ20CBIQ861800101010500;IQBANK35XXX
Irland;IE;0036;22;IE02BOFI90008413113207;IEBANK36XXX
Island;IS;0037;26;IS040116381002305610911109;ISBANK37XXX
Israel;IL;0038;23;IL020108380000002149431;ILBANK38XXX
Italien;IT;0039;27;IT43K0310412701000000820420;ITBANK39XXX
Jordanien;JO;0040;30;JO02SCBL1260000000018525836101;JOBANK40XXX
Kasachstan;KZ;0041;20;KZ04319C010005569698;KZBANK41XXX
Katar;QA;0042;29;QA03QNBA000000000060565452001;QABANK42XXX
Kosovo;XK;0043;20;XK051301001002074155;XKBANK43XXX
Kroatien;HR;0044;21;HR0223400093216312031;HRBANK44XXX
Kuwait;KW;0045;30;KW02NBOK0000000000001000614589;KWBANK45XXX
Lettland;LV;0046;21;LV02HABA0551007820897;LVBANK46XXX
Libanon;LB;0047;28;LB02001400000302300023018319;LBBANK47XXX
Liechtenstein;LI;0048;21;LI0308800000022875748;LIBANK48XXX
Litauen;LT;0049;20;LT027300010134441147;LTBANK49XXX
Luxemburg;LU;0050;20;LU020019175546294000;LUBANK50XXX
Malta;MT;0051;31;MT02VALL22013000000040013752732;MTBANK51XXX
Mauretanien;MR;0052;27;MR1300012000010000009880016;MRBANK52XXX
Mauritius;MU;0053;30;MU03MCBL0901000001879025000USD;MUBANK53XXX
Mazedonien;MK;0054;19;MK07200000625758632;MKBANK54XXX
Moldawien;MD;0055;24;MD14MO2224ASV41884097100;MDBANK55XXX
Monaco;MC;0056;27;MC2412739000710075018000P14;MCBANK56XXX
Montenegro;ME;0057;22;ME25505120000000466170;MEBANK57XXX
Niederlande;NL;0058;18;NL02ABNA0457180536;NLBANK58XXX
Norwegen;NO;0059;15;NO0239916835985;NOBANK59XXX
Österreich;AT;0060;20;AT021100000622888600;ATBANK60XXX
Pakistan;PK;0061;24;PK02SCBL0000001925518401;PKBANK61XXX
Palästina;PS;0062;29;PS06ARAB000000009040781605610;PSBANK62XXX
Polen;PL;0063;28;PL02103000190109780401676562;PLBANK63XXX
Portugal;PT;0064;25;PT50003600409911001102673;PTBANK64XXX
Rumänien;RO;0065;24;RO02BRDE445SV75163474450;ROBANK65XXX
Saint Lucia;LC;0066;32;LC55HEMM000100010012001200023015;LCBANK66XXX
San Marino;SM;0067;27;SM07U0854009803000030174419;SMBANK67XXX
Sao Tome und Principe;ST;0068;25;ST23000200000289355710148;STBANK68XXX
Saudi Arabien;SA;0069;24;SA0220000002480647579940;SABANK69XXX
Schweden;SE;0070;24;SE0230000000030301099952;SEBANK70XXX
Schweiz;CH;0071;21;CH020020720710117540C;CHBANK71XXX
Serbien;RS;0072;22;RS35105008054113238018;RSBANK72XXX
Seychellen;SC;0073;31;SC74NOVH00000021002035257028SCR;SCBANK73XXX
Slowakische Republik;SK;0074;24;SK0202000000003679748552;SKBANK74XXX
Slowenien;SI;0075;19;SI56011006000005649;SIBANK75XXX
Spanien;ES;0076;24;ES1321000555370200853027;ESBANK76XXX
Timor-Leste;TL;0077;23;TL380030000000025923744;TLBANK77XXX
Türkei;TR;0078;26;TR020001000201529153355002;TRBANK78XXX
Tschechien;CZ;0079;24;CZ0201000000199216760237;CZBANK79XXX
Tunesien;TN;0080;24;TN5901026067111999766058;TNBANK80XXX
Ukraine;UA;0081;29;UA123052990004149497803982794;UABANK81XXX
Ungarn;HU;0082;28;HU02116000060000000064247067;HUBANK82XXX
Vereinigte Arabische Emirate;AE;0083;23;AE020090004001079346500;AEBANK83XXX
Weissrussland;BY;0084;28;BY86AKBB10100000002966000000;BYBANK84XXX
Zypern;CY;0085;28;CY02002001950000357009822416;CYBANK85XXX
